"","code","Atrisk","Une","Chronic","Density","Circulatory","Educational","GDP","Personnel","Beds","Influenza","Lifeexp","Longterm","Malignant","Pneumonia","Respiratory","Over.75","Obesity","Over.60","Males","Diabetes","Pop","Over75rate","Over60rate","Malesrate","PM","deaths","rate","lon","lat","cluster"
"1","CH01",15.8,7.5,26.03,199.7,205.27,21.6,104579,492.5787481,505.6070328,4.15,84.2,52.4784181,36.88,19.15,58.94,134928,14.9,369097,804808,14.02,1642580,8.214394428,22.4705646,48.99657855,11.02979228,2424,1475.72720963363,7.20728806,46.34253193,6
"2","CH02",16.8,3.8,28.99,193,280.93,18.8,115825,380.2564947,420.050779,3.12,83.3,67.7088827,41.73,19.14,61.14,172895,13.1,484527,926783,17.3,1877154,9.210485661,25.81178742,49.37170845,10.74206957,2480,1321.14893077499,7.42713797,46.90173357,6
"3","CH03",16.1,3.5,22.76,603,245.94,17.1,84190,473.5144539,534.749226,4.38,83.9,94.99571529,42.29,15.23,52.27,105917,14.9,293601,576428,14.14,1161105,9.122086288,25.28634361,49.64477803,12.06896976,1158,997.32582324596,8.02690245,47.42401775,6
"4","CH04",9.6,4,22.04,925.1,232.4,20.6,123018,521.641481,420.1929298,2.62,84,81.52702752,34.88,14.25,47.45,125708,14.9,339407,757081,14.54,1520968,8.264999658,22.31519664,49.77626091,12.20832352,1469,965.832285754861,8.6549086,47.41286517,6
"5","CH05",13.8,3.5,26.15,104.6,276.69,18,69651,348.7993498,502.4988927,2.06,83.6,114.0845058,40.6,16,53.15,103732,14.9,297574,590060,21.08,1176321,8.818341252,25.29700651,50.16147803,10.25411969,1326,1127.24332898928,9.44994425,46.90997201,6
"6","CH06",11.3,2.7,19.89,191.9,253.73,18.4,54023,316.8293451,328.7596426,3.63,84,149.6821867,33.4,13.89,44.29,67544,14.9,194868,409769,19.29,813056,8.307422859,23.9673528,50.39861953,10.99202367,775,953.193875944584,8.42068777,46.96850269,6
"7","CH07",23.9,6.9,31.32,128.9,276.26,17.9,24520,452.8178003,553.5697608,4.8,85.2,337.6322723,55.31,24.55,79.58,40465,11.1,101756,172192,6.55,353343,11.45204518,28.79808005,48.73225166,13.5771656,994,2813.13058416326,8.80817102,46.29657398,4
"8","DE11",13.4,2.4,31.53,393.3,352.95,20.9,48300,272.3355452,491.7437729,3.05,82.3,9.026364224,38.7,19.59,65.32,443671,14.13,1080502,2067094,29.41,4143418,10.70785038,26.0775524,49.88861853,12.87734501,3884,937.390338121812,9.62515495,49.01673358,4
"9","DE12",14.5,2.8,37.2,409.3,373.26,20.9,41200,402.2631401,726.3480574,2.59,81.7,9.019193057,44.04,24.11,77.86,301760,14.13,750270,1394621,26.07,2805129,10.75743754,26.74636354,49.71682229,12.48780019,2772,988.189847953517,8.68090629,49.02249798,1
"10","DE13",12.7,2.2,33.13,244.9,355.53,20.9,36000,498.306667,899.7694382,2.41,82.2,9.052894961,38.44,20.23,68.04,247028,14.13,613084,1116838,25.47,2264469,10.90887091,27.07407344,49.32008343,11.53820008,2459,1085.90579071738,8.22289353,48.02686287,4
"11","DE14",14.3,1.9,33.25,214.2,354.69,20.9,40800,607.8048302,1097.485237,2.67,82.5,9.049203428,35.1,16.52,65.14,195216,14.13,488580,923140,26.08,1856517,10.51517438,26.31702268,49.72429555,11.77162836,1487,800.96223196448,9.50038964,48.13169333,4
"12","DE21",14.9,1.9,33.82,273.4,319.19,19.1,54900,178.3121927,322.2252406,1.71,82.7,8.066300724,37.96,20.27,68.37,481515,14.84,1176816,2318777,23.79,4686163,10.27525078,25.11257077,49.48135607,12.50420077,4584,978.199008442515,11.75409606,48.1016325,6
"13","DE22",20.9,2,31.41,121,417.01,19.1,36800,674.6718685,1219.189231,2.46,81.1,8.074100868,41.91,36.41,87.67,126984,14.84,337950,620809,30.81,1238528,10.25281625,27.28642388,50.12474486,13.90032358,1868,1508.24204216618,12.78683177,48.70670327,4
"14","DE23",17.3,2.3,34.78,115.2,414.34,19.1,40000,753.2888776,1361.256828,3.55,80.9,8.113451291,47.62,35.05,89.86,114566,14.84,299477,552961,30.66,1109269,10.3280629,26.99768947,49.84913488,13.22296264,1528,1377.48373027643,12.11752136,49.39960851,4
"15","DE24",17.9,2.3,47.35,147.8,516.95,19.1,35600,782.7766651,1414.543758,1.88,80.6,8.056341934,47.63,38.59,107.12,124946,14.84,314515,525763,30.7,1067482,11.70474069,29.46326027,49.25263377,12.52900059,1668,1562.55562154678,11.37609762,50.05114558,1
"16","DE25",19.3,2.1,47.08,245.7,441.3,19.1,41700,471.9834659,852.9141138,2.51,81,8.077266111,44.4,34.91,98.97,189754,14.84,475485,873070,24.39,1770401,10.71813674,26.85747466,49.31481625,13.28836408,2588,1461.81571293735,10.78621802,49.34766109,4
"17","DE26",17.6,2,36.74,155.1,448.21,19.1,38200,634.4125534,1146.437237,1.22,81.6,8.047837561,42.24,27.19,80.28,148221,14.84,378013,652896,27.37,1317124,11.25338237,28.69987943,49.56982031,12.57192344,1482,1125.17879865525,9.94813363,50.0114912,1
"18","DE27",15.4,2.2,31.97,191.5,392.47,19.1,37200,442.6424206,799.8923589,1.13,82.1,8.051896592,37.84,28.15,76.64,204696,14.84,509230,939517,23.71,1887754,10.84336201,26.97544277,49.7690377,11.88256702,1865,987.946522693105,10.51873384,48.16190783,4
"19","DE30",21.7,5.3,51.47,4322.9,313.97,18.7,37600,540.0532152,571.6047899,0.7,80.8,27.32640735,58.18,21.71,82.86,370895,12.98,898889,1792801,32.49,3644826,10.17593158,24.6620552,49.18756067,14.44181417,3625,994.560508512615,13.40234641,52.50127923,1
"20","DE40",18,3.4,46.46,86.7,496.26,15.8,27200,372.9024486,822.8376973,0.72,80.7,46.73721305,60.41,26.66,86.3,335332,17.91,814083,1239460,27.04,2511917,13.34964491,32.40883357,49.34319088,13.78259502,3847,1531.49964748039,13.39778971,52.47263049,1
"21","DE50",27.4,5.1,44.35,1744.5,434.47,21.8,46300,539.2497064,786.9853848,0.51,79.7,166.328446,66.3,40.81,107.55,76722,14.65,185457,338035,7.83,682986,11.23331957,27.15385088,49.49369387,12.48413065,507,742.328539677241,8.73617285,53.21438916,1
"22","DE60",24,3.6,35.68,2597.5,301.81,20.6,60700,627.2611191,701.7242756,0.83,81.1,56.53985843,57.5,15.58,63.63,181855,11.13,430980,902048,13.73,1841179,9.877095057,23.40782727,48.99295506,12.45233,1716,932.011499153532,10.01152579,53.54727345,1
"23","DE71",14.1,3.1,41.51,542.2,366.34,20.5,48800,215.5937744,435.2888571,0.84,81.8,16.30520136,47.4,22.68,78.05,411497,15.72,1037725,1971254,25.13,3998724,10.29070774,25.9514035,49.29707577,12.57315949,4980,1245.39728173287,8.75792909,50.05921003,1
"24","DE72",17,3.3,48.2,194.9,446.99,20.5,32100,823.1941959,1662.048274,1.34,80.9,16.32829225,47.62,23.48,89.78,113573,15.72,289951,517202,36.89,1047262,10.84475518,27.686577,49.3861135,11.89112196,1274,1216.50551628914,8.74636153,50.64726041,1
"25","DE73",14.6,2.8,54.18,147.5,494.99,20.5,34900,706.7418798,1426.928333,1.97,80.8,16.31384225,50.89,29.8,99.98,146935,15.72,362380,604588,34.29,1219823,12.04560006,29.70758872,49.56358422,11.85075318,1469,1204.2730789631,9.45460447,51.05335185,1
"26","DE80",24.7,4,45.88,71.3,506.56,15.8,25800,430.1489431,1286.284498,1.43,79.9,84.05423455,66.87,19.68,78.6,211876,20.56,530878,793639,34.05,1609675,13.16265706,32.98044636,49.30430056,12.04474727,1198,744.249615605635,12.53615906,53.75616672,1
"27","DE91",20,3.3,52.08,197.3,489.03,19.8,41500,472.5644514,929.405987,1.19,80.3,17.41422554,63.99,26.64,91.69,195085,15.53,469593,790405,27.86,1596396,12.22033881,29.41582164,49.51183791,12.15697558,1331,833.75302869714,10.3471971,52.03912294,1
"28","DE92",18.3,3.5,49.25,239,481.59,19.8,36100,350.9155482,690.1556188,0.09,80.5,17.3969267,60.75,28.55,90.52,259914,15.53,619217,1054567,25.75,2149805,12.0901198,28.8034031,49.054077,11.94941137,1877,873.102444175169,9.34936496,52.39601974,1
"29","DE93",14.4,2.6,49.36,111.4,460.7,19.8,26500,440.9339102,867.1972992,0.53,80.6,17.41759083,63.32,22.95,84.33,202120,15.53,503126,844086,24.97,1710914,11.81356865,29.40685505,49.33538448,11.60242832,1037,606.108781621987,9.7777212,53.18178639,1
"30","DE94",19.3,3,47.92,169.8,425.91,19.8,33600,298.73288,587.5264767,0.72,80.5,17.42344475,56.1,28.69,92.21,267396,15.53,684686,1254185,29.3,2525333,10.58854416,27.11270157,49.6641433,11.55053801,1696,671.594597623363,7.77414311,52.9423645,1
"31","DEA1",20.8,3.8,52.09,1006.7,377.65,21.5,38800,302.2304852,534.5114229,0.54,80.3,5.90121217,70.32,22.91,92.16,599586,16.19,1466289,2538726,16.33,5202321,11.5253557,28.18528499,48.79987221,13.73886578,5637,1083.55482101162,6.59494345,51.43063918,1
"32","DEA2",20.1,3.4,47.66,613.4,351.78,21.5,40000,351.831232,622.2331023,1.33,80.9,5.885111875,62.76,18.2,79.38,473189,16.19,1180173,2193175,16.4,4468904,10.58847986,26.40855565,49.07635071,12.2645893,3457,773.567747259731,6.80914419,50.82503494,4
"33","DEA3",18.6,3.4,50.16,380.1,359.47,21.5,31500,599.2867105,1059.871879,0.95,80.8,5.907870007,64.71,24.97,91.89,280400,16.19,714718,1291424,18.28,2623619,10.68752742,27.2416841,49.22300075,12.8705849,2627,1001.28867796734,7.41642667,51.95073342,1
"34","DEA4",17.2,3,46.73,316.3,404.78,21.5,35400,764.9940885,1352.934594,0.63,81.1,5.887189767,50.77,22.98,84.66,231814,16.19,562410,1013832,20.03,2055310,11.2787852,27.36375535,49.32744939,12.08853646,1879,914.217320014986,8.78410267,51.93934725,1
"35","DEA5",20.6,3.9,51.84,449.1,411.73,21.5,32600,438.8838288,776.1904616,0.84,80,5.889746733,67.48,25.46,95.14,414852,16.19,1025154,1761474,19.04,3582497,11.57996783,28.61562759,49.16888974,12.0719192,3528,984.78798447005,8.00626588,51.31598688,1
"36","DEB1",21.1,2.3,53.34,186.7,487.34,20.3,32400,362.3273179,721.4458331,1.27,80.7,27.20797387,62.93,25.13,93.82,176305,17.05,446398,738472,28.5,1495885,11.78599959,29.84173249,49.36689652,11.27524455,1355,905.818294855554,7.50550472,50.25281695,1
"37","DEB2",19.6,2,47.09,108.5,446.54,20.3,29600,1020.702175,2032.364922,0.57,80.9,27.30660801,63.17,13.62,72.06,58049,17.05,148618,264244,28.74,531007,10.93187095,27.98795496,49.76280915,10.69425671,286,538.599302834049,6.6745629,49.97422035,1
"38","DEB3",17.8,3.3,42.78,303.2,424.37,20.3,35800,263.3686306,524.4048452,1.47,81,27.26011102,54.76,21.27,80.24,227039,17.05,580578,1014860,27.53,2057952,11.03227869,28.21144516,49.31407535,12.24190374,2339,1136.56683926544,7.9439624,49.46422295,1
"39","DEC0",22.9,3.7,52.98,385.5,455.83,18.5,33400,479.5514226,932.9546728,0.1,79.7,132.2552344,70.44,11.34,76.16,122860,15.97,311786,486159,39.34,990509,12.40372374,31.47735154,49.08173474,11.52410669,933,941.939952085241,6.95238191,49.38473538,6
"40","DED2",19.1,3.5,43.56,205.6,524.7,16.2,29100,346.1396234,722.6884762,2.37,81.5,33.28746921,47.56,19.19,74.18,232108,16.85,523560,790659,24.07,1598199,14.52309756,32.75937477,49.47187428,15.33856531,4809,3009.01201915406,14.13943059,51.17062111,1
"41","DED4",20.3,3.7,42.5,219.9,686.52,16.2,27000,385.1174253,804.0683771,3.16,80.5,33.27659604,53.98,23.45,80.32,220676,16.85,526487,705809,27.47,1436445,15.36264876,36.65208205,49.13581794,13.1320909,4088,2845.9147409055,12.79200742,50.71696047,1
"42","DED5",20.6,4.7,47.49,268.4,523.12,16.2,30100,530.2441404,1107.071551,2.73,80.6,33.26007172,46.23,16.45,74.55,132528,16.85,305266,513151,25.37,1043293,12.70285529,29.25985318,49.18570335,13.80777799,1308,1253.72258799781,12.67468972,51.35906772,1
"43","DEE0",20.5,4.6,43.82,108.7,614.06,15.2,26500,405.8739649,880.8502025,2.37,79.4,66.33999314,70.79,19.94,79.69,313255,20.2,760540,1086679,41.57,2208321,14.1852113,34.43973951,49.20838048,12.78949767,3532,1599.40515894202,11.70098081,52.01300782,1
"44","DEF0",21.5,2.9,45.73,188.2,437.97,19.4,31000,426.6906755,896.3265937,1.01,80.4,49.78057881,70.37,24.88,87.72,354362,14.4,853761,1419457,14.75,2896712,12.23324928,29.47345128,49.00235163,11.07975146,1682,580.65834642864,9.81472214,54.18143231,1
"45","DEG0",20.2,3.7,47.87,132.4,544.92,15.9,27400,419.523644,1001.378815,1.16,80.3,60.28523502,53.52,32.57,99.86,289910,18.13,720821,1060814,38.53,2143145,13.52731616,33.63379519,49.4980041,12.32586595,4411,2058.19018311873,11.02469205,50.90408604,1
"46","ES11",18.8,11.8,43.32,92,357.06,17.8,25300,466.8496738,333.4640527,2.58,83.5,30.29134871,57.67,24.2,146.78,357954,18.4,858884,1303453,16.43,2700441,13.25539051,31.80532365,48.26815324,5.246923485,2614,967.990043107774,-7.91043096,42.75757635,3
"47","ES12",14,14.2,44.67,96.6,383.83,16.4,24900,401.7785082,340.3426906,4.64,82.9,136.2740351,68.26,25.43,152.66,131268,21.7,340721,488675,18.99,1022205,12.84165114,33.33196375,47.80596847,5.63871291,2065,2020.14273066557,-5.99193962,43.29236182,3
"48","ES13",19.9,10.3,35.25,110.5,281.35,18.8,26000,528.5046962,326.1461967,3.1,83.6,166.0818271,61.22,19.95,129.32,62769,17.5,168080,283562,5.81,581641,10.79170829,28.89755021,48.75206528,5.91105883,604,1038.4412378082,-4.02902815,43.19745518,3
"49","ES21",8.6,9.2,33.82,303.7,265.67,21.6,36300,506.9149815,328.2090841,4.61,84.1,42.5184124,56.01,18.5,108.2,245525,13.8,638418,1054101,15.62,2177880,11.27357797,29.31373629,48.40032509,6.638650095,4850,2226.9362866641,-2.6154203,43.04292801,3
"50","ES22",8.9,8.2,34.2,63.1,247.21,20.8,34300,503.7341564,327.1040979,5.47,84.4,159.8594345,49.04,17.65,100.73,64525,15.4,167554,321064,20.67,649946,9.927747844,25.77968016,49.39856542,6.464232765,1240,1907.85080606697,-1.64554601,42.66784445,3
"51","ES23",16.6,10,29.75,62.6,301,22.4,29700,416.8115036,323.6906474,1.28,83.9,327.5175319,39.34,16.95,105.24,34411,15,85955,154512,15.96,313571,10.97391021,27.41165478,49.27496484,6.215278883,816,2602.28146097694,-2.51661746,42.27412815,3
"52","ES24",14.2,10,40.8,27.9,327.57,20,30800,470.0186129,373.6220133,4.03,83.8,87.68834442,58.81,29.63,124.69,150493,15.7,368612,651885,14.3,1320586,11.39592575,27.91275994,49.36331295,5.891876876,3755,2843.43465703862,-0.65956968,41.51945511,3
"53","ES30",16.1,10.6,24.77,839.7,183.14,23.5,38300,453.3512686,269.9630769,1.54,85.5,12.28610545,39.46,22.79,108.2,580055,15.9,1556957,3184373,11.01,6641649,8.733599141,23.44232584,47.94551775,7.380935316,15584,2346.40523761494,-3.71697051,40.49460726,3
"54","ES41",16.1,11.6,37.03,25.6,347.83,19.4,26300,454.4108504,349.6650168,3.41,84.3,47.43050828,54.6,28.41,155.13,332917,13.2,775582,1188756,20.87,2407733,13.82698995,32.21212651,49.37241795,5.815016135,7203,2991.61078076348,-4.7815099,41.75409033,3
"55","ES42",29.9,16.2,44.93,25.8,269.28,22,22300,285.373514,234.903633,3.23,83.8,109.4415043,49.24,32.09,147.87,207201,20.3,501681,1021106,23.1,2034877,10.18248277,24.65411914,50.18023202,6.136009305,6299,3095.51879548494,-3.0043072,39.58098853,3
"56","ES43",37.6,21.6,32.85,26,318.6,21.1,20500,260.3658262,328.9770082,1.67,82.8,111.0356065,59.12,42.41,154.98,115646,19.3,286055,528981,20.12,1065424,10.85445794,26.84893526,49.64981078,5.964390297,1949,1829.31865623451,-6.15040981,39.19126178,3
"57","ES51",13.6,11,38.46,238.1,234.7,22.4,33200,406.3078088,382.8621446,3.72,83.7,11.4849392,45.23,16.58,99.92,712747,14.9,1883389,3698669,19.56,7566431,9.419857262,24.89137878,48.88261057,6.441000452,15332,2026.31861706001,1.52958544,41.79878717,3
"58","ES52",26,14.1,30.54,216.2,273.69,21.4,24500,374.6757015,234.7552316,2.01,82.9,11.05534527,49.97,20.87,98.82,465399,18.8,1269463,2450794,19.8,4974969,9.35481206,25.51700322,49.26249792,7.24934638,7694,1546.54230006257,-0.55395386,39.40054601,3
"59","ES53",15.4,11.8,27.11,241.2,207.74,18.8,30200,300.7860497,292.2017808,2.09,83.6,41.06983555,46.05,12.51,73.07,85550,15.5,252794,594424,25.78,1188220,7.199845147,21.27501641,50.02642608,6.438232502,952,801.198431266937,2.91249362,39.57403136,3
"60","ES61",32,21.2,29.49,97.4,272.41,24.2,20900,344.5900606,219.2015217,1.52,82.1,6.241541732,42.66,19.67,93.36,682025,21,1933673,4160232,20.48,8427405,8.092942015,22.94505841,49.36551643,6.417875723,10978,1302.65485045515,-4.5757648,37.46301903,3
"61","ES62",28.6,14.7,32.72,132.4,229.4,23.5,23200,446.337645,315.1251325,1.43,83,14.65385642,39.38,21.79,103.67,112904,16.1,311992,744145,21.55,1487663,7.589353234,20.971954,50.02107332,7.40526958,1727,1160.88119419519,-1.48542102,38.00164722,3
"62","FR10",15.4,8.1,11.04,1026.8,129.24,24.9,54800,389.275225,546.1253901,1.16,84.5,4.516200215,36.62,12.9,39.94,837686,14.4,2463374,5911297,13.29,12244807,6.841153152,20.11770377,48.27595078,12.65396288,21509,1756.58138180536,2.5038981,48.70926402,11
"63","FRB0",13.1,8.2,15.81,65.4,250.99,21.1,25700,263.6381994,618.8071531,1.56,82.8,38.74853913,51.75,19.55,61.72,274840,16.9,746946,1245834,18.1,2565258,10.71393209,29.11777295,48.56564135,10.12913822,2862,1115.67725351602,1.6842791,47.48454695,7
